Date,AAPL,AMZN,BA,MMM
2000-01-31,,,,
2000-02-29,0.1047710843373495,0.06691449814126393,-0.1669077499279652,-0.052182918788488464
2000-03-31,0.1848717501308672,-0.027293844367014986,0.023551705468322304,0.00419548701666872
2000-04-30,-0.08651792946027548,-0.1762686567164179,0.049722295688985785,-0.021793134598012798
2000-05-31,-0.32290827019184265,-0.09512592861025548,-0.012137175911600462,0.005777549242861557
2000-06-30,0.2471428571428571,-0.2729275130156187,0.07040450588837577,-0.04112754158964882
2000-07-31,-0.02997327224131341,-0.17020104654365198,0.16742406122937514,0.08506024096385545
2000-08-31,0.1993702027160007,0.37736475273813475,0.10217719954821725,0.03911111814785806
2000-09-30,-0.5774532326878896,-0.07373493975903622,0.20246085011183657,-0.020318211137389852
2000-10-31,-0.24038834951456323,-0.04708636836628499,0.051317829457370845,0.06035334138044535
2000-11-30,-0.15644171779141103,-0.325962325962326,0.020627409163618937,0.03989854696435313
2000-12-31,-0.09818181818181804,-0.3697853381936007,-0.0443092962641245,0.20644773728474175
2001-01-31,0.45295698924731176,0.11246786632390737,-0.11363636363636143,-0.08132780082987556
2001-02-28,-0.15587419056429241,-0.41132293471981507,0.06639411454033506,0.02446329045500706
2001-03-31,0.20931506849315085,0.003925417075564264,-0.10434083601286082,-0.07890070921985826
2001-04-30,0.15496148618033523,0.5425219941348973,0.10931610123854285,0.14533205004812322
2001-05-31,-0.2173401333856415,0.057667934093789786,0.0202990540204262,0.001403461783119564
2001-06-30,0.16541353383458657,-0.15218693828639906,-0.11591667991733601,-0.03794266441821237
2001-07-31,-0.19182795698924737,-0.11731448763250885,0.05269784172662262,-0.019281332164767684
2001-08-31,-0.012772751463544507,-0.28422738190552443,-0.12250328994731186,-0.06462151511156056
2001-09-30,-0.16388140161725073,-0.33221476510067116,-0.3457031250000192,-0.054755043227665556
2001-10-31,0.1321727917472597,0.16917922948073705,-0.026865671641778666,0.060975609756097615
2001-11-30,0.21298405466970416,0.6217765042979941,0.08205476494612207,0.1033691415909943
2001-12-31,0.028169014084507005,-0.044169611307420475,0.10484330484330528,0.03141361256544517
2002-01-31,0.12876712328767126,0.3114602587800368,0.055956678700354034,-0.060913705583756306
2002-02-28,-0.12216828478964392,-0.006342494714587699,0.12700021631208402,0.06778590717104827
2002-03-31,0.09078341013824898,0.014184397163120588,0.04982593559618187,-0.0245971162001698
2002-04-30,0.025348542458808465,0.16713286713286712,-0.07564766839378834,0.0939130434782609
2002-05-31,-0.03996703749484953,0.09227082085080873,-0.04007287624628453,0.0016676330309550735
2002-06-30,-0.23948497854077255,-0.1086121777290181,0.05509964830011471,-0.019138755980861233
2002-07-31,-0.13882618510158018,-0.11015384615384605,-0.07733333333331349,0.02276422764227637
2002-08-31,-0.03342070773263428,0.03319502074688785,-0.10300175186120974,-0.00157624742023732
2002-09-30,-0.016949152542372836,0.06626506024096379,-0.07930941462095364,-0.12
2002-10-31,0.10827586206896544,0.21468926553672318,-0.12833284500441966,0.1536363636363638
2002-11-30,-0.03546981953951456,0.20671834625323005,0.15073041310732482,0.028571953394648242
2002-12-31,-0.075483870967742,-0.19100642398286938,-0.03113069016151937,-0.050808314087759876
2003-01-31,0.0020935101186321248,0.1566966649020647,-0.04243710215217911,0.010543390105433925
2003-02-28,0.04526462395543174,0.007322654462242673,-0.12273625652605968,0.01169645964783883
2003-03-31,-0.05796135909393729,0.18264425261244877,-0.09071117561683228,0.03668261562998398
2003-04-30,0.005657708628005631,0.10218978102189791,0.08858739026337092,-0.030461538461538318
2003-05-31,0.2623066104078762,0.2509585221331474,0.13074788511238955,0.008783982247018374
2003-06-30,0.06183844011142048,0.01198105321816656,0.11900880339097086,0.019846603937692553
2003-07-31,0.10598111227702,0.1464757709251101,-0.03496503496505754,0.08699023104357262
2003-08-31,0.07258064516129048,0.11239193083573484,0.13485215198143674,0.020854527503173736
2003-09-30,-0.08359133126934992,0.045552677029361055,-0.08184006418827039,-0.030392363304555525
2003-10-31,0.10472972972972983,0.12389015073301679,0.1211768132828348,0.14188504415810077
2003-11-30,-0.08650065530799478,-0.008451221752709959,0.001741782491238908,0.006458780700293376
2003-12-31,0.02199904351984694,-0.02501389660922737,0.09768168793959164,0.07578441295546545
2004-01-31,0.055685540477304674,-0.04218928164196123,-0.009254864736615631,-0.0698576972833117
2004-02-29,0.06028368794326244,-0.14662698412698416,0.042771745786940096,-0.00907082436300688
2004-03-31,0.13043478260869557,0.006277609858172495,-0.05303204980402054,0.04934632145603701
2004-04-30,-0.04659763313609466,0.007393715341959428,0.03944485025566591,0.05630878221570779
2004-05-31,0.08844065166795967,0.11238532110091737,0.07779707695729243,-0.017925059602407867
2004-06-30,0.15965787598004288,0.12164948453608249,0.11550218340611118,0.06445127719962152
2004-07-31,-0.006146281499692652,-0.28455882352941175,-0.006654922685465303,-0.08499055660482169
2004-08-31,0.06648113790970922,-0.020041109969167525,0.03310789049918483,0.0045000000000001705
2004-09-30,0.12351406204697013,0.07131620346093337,-0.01148985063191621,-0.029018941233608597
2004-10-31,0.35225806451612907,-0.1647087616250611,-0.03332041844247613,-0.030011254220332684
2004-11-30,0.2795801526717556,0.16261353647817156,0.0776360185615943,0.030532966022803976
2004-12-31,-0.039522744220730655,0.116179435483871,-0.03360089602390026,0.03115969342882252
2005-01-31,0.19409937888198758,-0.024158952359449093,-0.022599961367594568,0.027903009625929176
2005-02-28,0.1667100130039012,-0.1860249884312818,0.09138194584427328,1.1865259468279987e-06
