Date,AAL,DIS,F,MSFT
2000-01-31,,27.945375379706,13.648578623689314,31.487042192145157
2000-02-29,,26.167523076563,11.420911117672084,28.752395634127033
2000-03-31,,31.747362556124,12.603330692910292,34.18308197522655
2000-04-30,,33.579089171483,15.159661459051744,22.440187931972254
2000-05-31,,32.178357053856,13.445719825599136,20.126998667013396
2000-06-30,,29.869457958865,12.393753677013287,25.73784995781764
2000-07-31,,29.677049700949,13.565478433312238,22.45949131944062
2000-08-31,,29.984902913614,13.148839981109624,22.45949131944062
2000-09-30,,29.438463461133,13.826615237867852,19.403121636949773
2000-10-31,,27.560558863874,14.328608842375212,22.157071582436263
2000-11-30,,22.273179936345,12.475156952316729,18.4604728822447
2000-12-31,,22.421951176378,12.85352434999139,13.956349139626615
2001-01-31,,23.591859478946,15.623851315460572,19.644413980304314
2001-02-28,,23.979246334101,15.413242464808741,18.98166434389051
2001-03-31,,22.158528114872,15.585054948235234,17.595037677413085
2001-04-30,,23.436904736884,16.50508308529322,21.796741683026813
2001-05-31,,24.498344720009,13.63292988897184,22.256805751022807
2001-06-30,,22.383212490862,13.744904672454156,23.485788086508595
2001-07-31,,20.415287266674,14.259988676472803,21.29485360884937
2001-08-31,,19.702495453189,11.258031072235683,18.354304251168703
2001-09-30,,14.426286485976,9.83023850544988,16.462572279269107
2001-10-31,,14.403043274667,9.178666500765882,18.708199688088698
2001-11-30,,15.85961785005,10.8313983504365,20.657841822393383
2001-12-31,,16.379219448799,8.989946254955742,21.314156996317735
2002-01-31,,16.64799042431,8.807856166278373,20.496980260157024
2002-02-28,,18.181565990462,8.566071879360928,18.769327081738513
2002-03-31,,18.244806219994,9.492911645877802,19.403121636949773
2002-04-30,,18.323856506909,9.21082997780745,16.813250484944373
2002-05-31,,18.110420732239,10.222879786339032,16.3789242669062
2002-06-30,,14.940504226945,9.267199806313004,17.59825490865781
2002-07-31,,14.015615870039,7.859743835729216,15.436275512201128
2002-08-31,,12.39508498828,6.867793982667622,15.790170949121121
2002-09-30,,11.968213438939,5.718299152943305,14.072169464436795
2002-10-31,,13.201397914814,4.995036457230489,17.202535465556366
2002-11-30,,15.667766866564,6.719091593768672,18.55698981958652
2002-12-31,,13.053692031736,5.490997523905857,16.63308553523965
2003-01-31,,14.006107330189,5.436098238024946,15.268979487475315
2003-02-28,,13.653953774459,4.9646912558032446,15.299410062012681
2003-03-31,,13.621939814847,4.4873170965913936,15.628637873473714
2003-04-30,,14.934512158933,6.205864069754055,16.506578704036468
2003-05-31,,15.726857659327,6.326366284700735,15.8868557648157
2003-06-30,,15.806892558357,6.6215967113201035,16.551766835021315
2003-07-31,,17.5436498673,6.72634312022798,17.048836275854637
2003-08-31,,16.407154301079,7.030427348086388,17.119846195973683
2003-09-30,,16.143039134281,6.549974268070104,17.94614344826804
2003-10-31,,18.119901140314,7.436432389307925,16.967415919937423
2003-11-30,,18.480058185947,8.092407876246051,16.688303875347785
2003-12-31,,18.847115161296,9.808979243934608,17.765806187019404
2004-01-31,,19.388373933609,8.971123686949488,17.947553564891724
2004-02-29,,21.432231685777,8.483696746599414,17.22056405340244
2004-03-31,,20.390430373985,8.372637443734838,16.18200760841775
2004-04-30,,18.791180932889,9.538202836988457,16.960924942156268
2004-05-31,,19.150196113543,9.221504695916575,17.02583471996781
2004-06-30,,20.798402170184,9.71828609367639,18.53823254297677
2004-07-31,,18.840137548432,9.2009540039602,18.49279569850869
2004-08-31,,18.317933649299,8.819664469828696,17.77241154326366
2004-09-30,,18.399528008538,8.782160581225599,18.000262973305503
2004-10-31,,20.578097400237,8.206483490740194,18.208584280772328
2004-11-30,,21.932563763615,8.930770214788637,19.416053063910876
2004-12-31,,22.883378032166,9.220484904408016,19.350874221100284
2005-01-31,,23.566586800752,8.356789792828996,19.032222100692945
2005-02-28,,22.998618065421,8.026833020446986,18.277323910454722
2005-03-31,,23.64890111022,7.189250444400344,17.558144630989293
2005-04-30,,21.730977699611,5.843833793708354,18.379026030783166
2005-05-31,,22.58704651808,6.4019167136343995,18.801070165722336
2005-06-30,,20.726743124099,6.568700114991608,18.101495461881505
2005-07-31,,21.105388947652,6.953584887354397,18.66261267225384
2005-08-31,,20.734974555045,6.455050402879269,20.0112886331827
2005-09-30,19.80384888749169,19.862442874682,6.383831190811392,18.805349033301347
2005-10-31,23.263159949704658,20.059997217406,5.453928833106285,18.78342285875805
2005-11-30,31.66165083916449,20.520957350428,5.32937997754256,20.28940288880801
2005-12-31,35.00785091296722,19.943406637995,5.060616657641889,19.167914940113057
2006-01-31,27.655636666302055,21.058307134237,5.689235667493116,20.63391225866855
2006-02-28,31.19035505412185,23.28810812672,5.284756208615399,19.76161931176221
2006-03-31,37.70366280341112,23.20490659715,5.278125397814126,20.011673296354658
2006-04-30,40.776511321889124,23.263147667849,4.674721614898189,17.761187435022602
2006-05-31,44.019026322982484,25.376466518934,4.815972196067775,16.722769245798723
2006-06-30,47.63857795210995,24.960458871083,4.661269178596323,17.20267211598721
2006-07-31,43.06700883719635,24.702534129415,4.520018597426738,17.763789318053743
2006-08-31,39.824493836102995,24.669253517587,5.672047325406565,19.0439841282626
2006-09-30,41.78508430188037,25.717592790172,5.482301417268712,20.266652369960394
2006-10-31,46.99761568445196,26.175201202809,5.611057569219398,21.274427405541605
2006-11-30,53.501497518040374,27.498105522976,5.50940797557412,21.830519080577048
2006-12-31,50.75855604909222,28.769741277985,5.0892563218403,22.202292225682246
2007-01-31,52.766276093373854,29.5252932812,5.50940797557412,22.945838515892635
